NAME,Median_Income,state,county,Tract
"Census Tract 8241.16, Cook County, Illinois",62815,17,031,824116
"Census Tract 8241.19, Cook County, Illinois",90840,17,031,824119
"Census Tract 8241.21, Cook County, Illinois",82104,17,031,824121
"Census Tract 8241.22, Cook County, Illinois",98397,17,031,824122
"Census Tract 8241.23, Cook County, Illinois",80444,17,031,824123
"Census Tract 8241.24, Cook County, Illinois",66953,17,031,824124
"Census Tract 8241.25, Cook County, Illinois",96775,17,031,824125
"Census Tract 8241.26, Cook County, Illinois",136620,17,031,824126
"Census Tract 8241.27, Cook County, Illinois",97821,17,031,824127
"Census Tract 8241.28, Cook County, Illinois",80000,17,031,824128
"Census Tract 8241.29, Cook County, Illinois",84507,17,031,824129
"Census Tract 8243, Cook County, Illinois",37028,17,031,824300
"Census Tract 8244, Cook County, Illinois",38849,17,031,824400
"Census Tract 8245.03, Cook County, Illinois",68393,17,031,824503
"Census Tract 8245.05, Cook County, Illinois",61836,17,031,824505
"Census Tract 8245.07, Cook County, Illinois",66538,17,031,824507
"Census Tract 8245.08, Cook County, Illinois",60966,17,031,824508
"Census Tract 8245.09, Cook County, Illinois",91250,17,031,824509
"Census Tract 8246.01, Cook County, Illinois",78914,17,031,824601
"Census Tract 8246.02, Cook County, Illinois",77163,17,031,824602
"Census Tract 8247.01, Cook County, Illinois",63900,17,031,824701
"Census Tract 8247.02, Cook County, Illinois",52345,17,031,824702
"Census Tract 8248, Cook County, Illinois",45244,17,031,824800
"Census Tract 8249, Cook County, Illinois",39782,17,031,824900
"Census Tract 8250, Cook County, Illinois",67193,17,031,825000
"Census Tract 8252, Cook County, Illinois",78138,17,031,825200
"Census Tract 8253.02, Cook County, Illinois",76389,17,031,825302
"Census Tract 8253.03, Cook County, Illinois",66799,17,031,825303
"Census Tract 8253.04, Cook County, Illinois",80508,17,031,825304
"Census Tract 8254, Cook County, Illinois",66723,17,031,825400
"Census Tract 8255.01, Cook County, Illinois",57976,17,031,825501
"Census Tract 8255.03, Cook County, Illinois",51708,17,031,825503
"Census Tract 8255.04, Cook County, Illinois",56964,17,031,825504
"Census Tract 8255.05, Cook County, Illinois",60204,17,031,825505
"Census Tract 8256, Cook County, Illinois",49349,17,031,825600
"Census Tract 8257, Cook County, Illinois",46382,17,031,825700
"Census Tract 8258.01, Cook County, Illinois",45458,17,031,825801
"Census Tract 8241.15, Cook County, Illinois",64917,17,031,824115
"Census Tract 8258.02, Cook County, Illinois",59634,17,031,825802
"Census Tract 8258.03, Cook County, Illinois",52857,17,031,825803
"Census Tract 8259, Cook County, Illinois",53922,17,031,825900
"Census Tract 8260, Cook County, Illinois",52750,17,031,826000
"Census Tract 8261, Cook County, Illinois",44602,17,031,826100
"Census Tract 8262.01, Cook County, Illinois",36309,17,031,826201
"Census Tract 8262.02, Cook County, Illinois",41694,17,031,826202
"Census Tract 8263.01, Cook County, Illinois",64310,17,031,826301
"Census Tract 3815, Cook County, Illinois",21677,17,031,381500
"Census Tract 3817, Cook County, Illinois",-666666666,17,031,381700
"Census Tract 3818, Cook County, Illinois",36849,17,031,381800
"Census Tract 3819, Cook County, Illinois",51929,17,031,381900
"Census Tract 3901, Cook County, Illinois",55529,17,031,390100
"Census Tract 3902, Cook County, Illinois",92292,17,031,390200
"Census Tract 3903, Cook County, Illinois",26102,17,031,390300
"Census Tract 3904, Cook County, Illinois",20852,17,031,390400
"Census Tract 3905, Cook County, Illinois",39074,17,031,390500
"Census Tract 3906, Cook County, Illinois",66667,17,031,390600
"Census Tract 3907, Cook County, Illinois",70192,17,031,390700
"Census Tract 4003, Cook County, Illinois",32273,17,031,400300
"Census Tract 4004, Cook County, Illinois",33652,17,031,400400
"Census Tract 4005, Cook County, Illinois",22015,17,031,400500
"Census Tract 4008, Cook County, Illinois",12896,17,031,400800
"Census Tract 4101, Cook County, Illinois",41806,17,031,410100
"Census Tract 4102, Cook County, Illinois",44224,17,031,410200
"Census Tract 4105, Cook County, Illinois",57794,17,031,410500
"Census Tract 4106, Cook County, Illinois",33250,17,031,410600
"Census Tract 4107, Cook County, Illinois",38926,17,031,410700
"Census Tract 4108, Cook County, Illinois",44243,17,031,410800
"Census Tract 4109, Cook County, Illinois",71682,17,031,410900
"Census Tract 4110, Cook County, Illinois",52586,17,031,411000
"Census Tract 4111, Cook County, Illinois",114045,17,031,411100
"Census Tract 4112, Cook County, Illinois",80313,17,031,411200
"Census Tract 4201, Cook County, Illinois",19358,17,031,420100
"Census Tract 4202, Cook County, Illinois",33188,17,031,420200
"Census Tract 4203, Cook County, Illinois",33293,17,031,420300
"Census Tract 4204, Cook County, Illinois",18000,17,031,420400
"Census Tract 4205, Cook County, Illinois",24577,17,031,420500
"Census Tract 4206, Cook County, Illinois",25667,17,031,420600
"Census Tract 4207, Cook County, Illinois",24979,17,031,420700
"Census Tract 4208, Cook County, Illinois",40556,17,031,420800
"Census Tract 4212, Cook County, Illinois",19716,17,031,421200
"Census Tract 4301.01, Cook County, Illinois",32761,17,031,430101
"Census Tract 4301.02, Cook County, Illinois",41399,17,031,430102
"Census Tract 4302, Cook County, Illinois",28056,17,031,430200
"Census Tract 4303, Cook County, Illinois",26399,17,031,430300
"Census Tract 4304, Cook County, Illinois",37228,17,031,430400
"Census Tract 4305, Cook County, Illinois",21973,17,031,430500
"Census Tract 4306, Cook County, Illinois",58800,17,031,430600
"Census Tract 4307, Cook County, Illinois",21183,17,031,430700
"Census Tract 4308, Cook County, Illinois",45658,17,031,430800
"Census Tract 4309, Cook County, Illinois",39948,17,031,430900
"Census Tract 4312, Cook County, Illinois",49701,17,031,431200
"Census Tract 4313.01, Cook County, Illinois",31289,17,031,431301
